Mean Before and After EM
Delta
0.00 , 0.740, 0.930
0.16 , 0.638, 0.890
0.32 , 0.506, 0.871
0.48 , 0.494, 0.817
0.64 , 0.458, 0.740
0.80 , 0.369, 0.781
0.96 , 0.416, 0.819
1.12 , 0.366, 0.778
1.28 , 0.402, 0.773
1.44 , 0.412, 0.652
1.60 , 0.365, 0.739
1.76 , 0.284, 0.625
1.92 , 0.319, 0.780
2.08 , 0.332, 0.712
2.24 , 0.369, 0.719
2.40 , 0.518, 0.733
2.56 , 0.378, 0.694
2.72 , 0.373, 0.716
2.88 , 0.368, 0.746
3.04 , 0.271, 0.613
3.20 , 0.393, 0.564
3.36 , 0.409, 0.726
3.52 , 0.374, 0.719
3.68 , 0.366, 0.658
3.84 , 0.408, 0.648


StdDev Before and After EM
Delta
0.00 , 0.000, 0.000
0.16 , 0.137, 0.119
0.32 , 0.180, 0.169
0.48 , 0.222, 0.215
0.64 , 0.234, 0.295
0.80 , 0.215, 0.229
0.96 , 0.197, 0.198
1.12 , 0.211, 0.227
1.28 , 0.219, 0.274
1.44 , 0.234, 0.315
1.60 , 0.187, 0.262
1.76 , 0.142, 0.315
1.92 , 0.205, 0.227
2.08 , 0.168, 0.265
2.24 , 0.203, 0.269
2.40 , 0.189, 0.280
2.56 , 0.208, 0.300
2.72 , 0.216, 0.335
2.88 , 0.198, 0.259
3.04 , 0.198, 0.331
3.20 , 0.235, 0.340
3.36 , 0.186, 0.266
3.52 , 0.210, 0.298
3.68 , 0.161, 0.312
3.84 , 0.215, 0.299


